"definition","description","cohort_n","analysis","n","limited","colectomy","cancer_events_limited","cancer_events_colectomy","CIF_limited_pct","CIF_colectomy_pct","RD_pp","CI_low_pp","CI_high_pp","upper_possible_reduction_pp","criterion_3pp","effective_B","ESS_limited","ESS_colectomy","max_weight","max_abs_weighted_SMD","worst_variable","balance_pass"
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"Q1",1480,809,671,37,28,6.37870880898457,5.44566478446129,-0.933044024523283,-3.41173103357864,2.8284413399359,3.41173103357864,FALSE,1000,762.830317652365,650.546411605075,0.835439264369643,0.00417922736684856,"nodal_risk",TRUE
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"Q2",1479,700,779,56,55,11.8528877578348,9.66191217566666,-2.19097558216815,-7.64422493266742,1.67890828687777,7.64422493266742,NA,1000,649.942179521357,730.471226486776,0.811626629169673,0.00202557531912805,"nodal_risk",TRUE
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"Q3",1480,645,835,70,86,14.3390708874472,13.815653723789,-0.52341716365818,-5.92768208240585,4.62488741699279,5.92768208240585,NA,1000,603.577148913403,776.53818255587,0.832535621869826,0.00424810562842436,"nodal_risk",TRUE
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"Q4",1479,558,921,107,154,24.1119359896487,21.1254909211211,-2.98644506852754,-9.10671249516426,2.59775924239217,9.10671249516426,NA,1000,539.300082478543,863.661582385898,0.877943232999632,0.0028325220415394,"nodal_risk",TRUE
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"Q5",1480,478,1002,154,279,39.2334578727574,33.2388027782958,-5.9946550944616,-11.8723315154026,-0.169886004229716,11.8723315154026,NA,1000,470.982515509002,955.693589445064,0.812549330881602,0.00143124369015008,"nodal_risk",TRUE
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"bottom_decile",740,428,312,11,18,3.7763321445963,7.20504162235867,3.42870947776237,-2.55105585549678,7.00806649143289,2.55105585549678,TRUE,1000,391.391008359809,299.883910264566,0.874198806762273,0.00898529685451274,"nodal_risk",TRUE
"ALT_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,"risk_lt_5pct",606,352,254,9,17,4.14061770620041,7.80934447634418,3.66872677014377,-3.18380084487003,8.03517560263224,3.18380084487003,FALSE,1000,320.266999425386,241.207742117512,0.841898986289188,0.0220644982334465,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"Q1",1327,659,668,29,29,6.1371723814327,5.75431121483734,-0.382861166595357,-3.99608993730105,2.78505731361193,3.99608993730105,FALSE,1000,623.063418707446,639.505499371341,0.833995248726896,0.00108955086556877,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"Q2",1326,577,749,43,49,11.8430996782098,8.61798315717972,-3.22511652103003,-7.58098591449713,1.84587757169283,7.58098591449713,NA,1000,535.888672150714,689.621700277925,0.854673352001731,0.00044630821485755,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"Q3",1326,525,801,54,81,14.0292134864665,13.1729268077298,-0.85628667873669,-6.27950757314266,3.88879605628731,6.27950757314266,NA,1000,485.872300245856,718.331831488805,0.87317043471726,0.00204179791085742,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"Q4",1326,450,876,84,139,23.382407196131,20.149534520407,-3.23287267572403,-8.60278869103705,3.20410135196435,8.60278869103705,NA,1000,435.828222986397,808.905625219549,0.860215158053222,0.00285197349974808,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"Q5",1327,374,953,119,273,38.7859717857787,34.6457661951412,-4.14020559063754,-11.3102680277289,1.74420508145704,11.3102680277289,NA,1000,366.382092227908,873.849707511354,0.868310770421645,0.000829673356674755,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"bottom_decile",664,352,312,10,16,4.15859242579818,6.39042487195684,2.23183244615866,-2.89250084738024,5.97514700274408,2.89250084738024,TRUE,1000,327.187100241262,298.959932222061,0.859213867641027,0.0116865470004268,"nodal_risk",TRUE
"ALT_B_30_31_vs_40_41","limited 30-31 vs colectomy 40-41",6676,"risk_lt_5pct",574,311,263,8,16,4.16870426239204,7.32946331706216,3.16075905467012,-3.21013868174479,6.38628093735879,3.21013868174479,FALSE,1000,286.985149475299,249.188601339057,0.843937771638432,0.0134680828707452,"nodal_risk",TRUE
